,50,100,200,400,600,800,1000,1500,2000,2500,3000,4000,5000,6000,8000,10000,12000,14000,16000
50-all gene,,0.397960835,0.397960835,0.397960835,0.001616773,0.001616773,0.001616773,0.001616773,0.001616773,0.001616773,0.001616773,0.001616773,0.001616773,0.001616773,0.001616773,0.001616773,0.001616773,0.001616773,0.002483946
100-all gene,0.397960835,,1,1,0.013652485,0.013652485,0.013652485,0.013652485,0.013652485,0.013652485,0.013652485,0.013652485,0.013652485,0.013652485,0.013652485,0.013652485,0.013652485,0.013652485,0.018677849
200-all gene,0.397960835,1,,1,0.013652485,0.013652485,0.013652485,0.013652485,0.013652485,0.013652485,0.013652485,0.013652485,0.013652485,0.013652485,0.013652485,0.013652485,0.013652485,0.013652485,0.018677849
400-all gene,0.397960835,1,1,,0.013652485,0.013652485,0.013652485,0.013652485,0.013652485,0.013652485,0.013652485,0.013652485,0.013652485,0.013652485,0.013652485,0.013652485,0.013652485,0.013652485,0.018677849
600-all gene,0.001616773,0.013652485,0.013652485,0.013652485,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
800-all gene,0.001616773,0.013652485,0.013652485,0.013652485,1,,1,1,1,1,1,1,1,1,1,1,1,1,1
1000-all gene,0.001616773,0.013652485,0.013652485,0.013652485,1,1,,1,1,1,1,1,1,1,1,1,1,1,1
1500-all gene,0.001616773,0.013652485,0.013652485,0.013652485,1,1,1,,1,1,1,1,1,1,1,1,1,1,1
2000-all gene,0.001616773,0.013652485,0.013652485,0.013652485,1,1,1,1,,1,1,1,1,1,1,1,1,1,1
2500-all gene,0.001616773,0.013652485,0.013652485,0.013652485,1,1,1,1,1,,1,1,1,1,1,1,1,1,1
3000-all gene,0.001616773,0.013652485,0.013652485,0.013652485,1,1,1,1,1,1,,1,1,1,1,1,1,1,1
4000-all gene,0.001616773,0.013652485,0.013652485,0.013652485,1,1,1,1,1,1,1,,1,1,1,1,1,1,1
5000-all gene,0.001616773,0.013652485,0.013652485,0.013652485,1,1,1,1,1,1,1,1,,1,1,1,1,1,1
6000-all gene,0.001616773,0.013652485,0.013652485,0.013652485,1,1,1,1,1,1,1,1,1,,1,1,1,1,1
8000-all gene,0.001616773,0.013652485,0.013652485,0.013652485,1,1,1,1,1,1,1,1,1,1,,1,1,1,1
10000-all gene,0.001616773,0.013652485,0.013652485,0.013652485,1,1,1,1,1,1,1,1,1,1,1,,1,1,1
12000-all gene,0.001616773,0.013652485,0.013652485,0.013652485,1,1,1,1,1,1,1,1,1,1,1,1,,1,1
14000-all gene,0.001616773,0.013652485,0.013652485,0.013652485,1,1,1,1,1,1,1,1,1,1,1,1,1,,1
16000-all gene,0.002483946,0.018677849,0.018677849,0.018677849,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
50-high corr,1,0.397960835,0.397960835,0.397960835,0.001616773,0.001616773,0.001616773,0.001616773,0.001616773,0.001616773,0.001616773,0.001616773,0.001616773,0.001616773,0.001616773,0.001616773,0.001616773,0.001616773,0.002483946
100-high corr,1,0.397960835,0.397960835,0.397960835,0.001616773,0.001616773,0.001616773,0.001616773,0.001616773,0.001616773,0.001616773,0.001616773,0.001616773,0.001616773,0.001616773,0.001616773,0.001616773,0.001616773,0.002483946
200-high corr,0.203924775,0.693376362,0.693376362,0.693376362,0.033589681,0.033589681,0.033589681,0.033589681,0.033589681,0.033589681,0.033589681,0.033589681,0.033589681,0.033589681,0.033589681,0.033589681,0.033589681,0.033589681,0.043308143
400-high corr,0.680894295,0.693376362,0.693376362,0.693376362,0.005015918,0.005015918,0.005015918,0.005015918,0.005015918,0.005015918,0.005015918,0.005015918,0.005015918,0.005015918,0.005015918,0.005015918,0.005015918,0.005015918,0.007279949
600-high corr,0.001616773,0.013652485,0.013652485,0.013652485,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
800-high corr,0.001616773,0.013652485,0.013652485,0.013652485,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1000-high corr,0.001616773,0.013652485,0.013652485,0.013652485,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1500-high corr,0.001616773,0.013652485,0.013652485,0.013652485,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2000-high corr,0.001616773,0.013652485,0.013652485,0.013652485,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2500-high corr,0.001616773,0.013652485,0.013652485,0.013652485,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2900-high corr,0.001616773,0.013652485,0.013652485,0.013652485,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
50-high CV gene,0.300557543,0.063621938,0.063621938,0.063621938,9.66E-05,9.66E-05,9.66E-05,9.66E-05,9.66E-05,9.66E-05,9.66E-05,9.66E-05,9.66E-05,9.66E-05,9.66E-05,9.66E-05,9.66E-05,9.66E-05,0.000162441
100-high CV gene,0.008670453,0.063621938,0.063621938,0.063621938,0.368120251,0.368120251,0.368120251,0.368120251,0.368120251,0.368120251,0.368120251,0.368120251,0.368120251,0.368120251,0.368120251,0.368120251,0.368120251,0.368120251,0.399075197
200-high CV gene,0.001616773,0.013652485,0.013652485,0.013652485,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
400-high CV gene,0.001616773,0.013652485,0.013652485,0.013652485,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
600-high CV gene,0.001616773,0.013652485,0.013652485,0.013652485,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
